Instance,Income
112126,3.28E+04
112127,9.16E+04
112128,1.69E+04
112129,5.87E+04
112130,7.18E+04
112131,7.91E+04
112132,3.30E+04
112133,4.17E+04
112134,2.09E+04
112135,6.48E+04
112136,7.52E+04
112137,9.44E+04
112138,6.02E+04
112139,2.56E+04
112140,5.05E+04
112141,8.91E+04
112142,6.43E+04
112143,3.36E+04
112144,4.80E+04
112145,1.05E+05
112146,7.82E+04
112147,1.71E+04
112148,9.38E+04
112149,5.43E+04
112150,2.88E+04
112151,8.59E+04
112152,2.39E+04
112153,4.28E+04
112154,3.55E+04
112155,6.80E+04
112156,7.59E+04
112157,8.92E+04
112158,4.17E+04
112159,3.08E+04
112160,5.84E+04
112161,4.24E+04
112162,9.45E+04
112163,5.76E+04
112164,1.61E+04
112165,4.79E+04
112166,5.42E+04
112167,4.13E+04
112168,6.02E+04
112169,1.80E+04
112170,2.57E+04
112171,6.16E+04
112172,3.56E+04
112173,4.73E+04
112174,7.47E+04
112175,2.79E+04
112176,9.16E+04
112177,1.00E+05
112178,5.97E+04
112179,1.45E+04
112180,7.14E+04
112181,3.91E+04
112182,4.62E+04
112183,1.19E+05
112184,7.59E+04
112185,9.50E+04
112186,3.14E+04
112187,1.02E+05
112188,9.25E+04
112189,9.88E+04
112190,1.18E+05
112191,8.98E+04
112192,9.40E+04
112193,5.41E+04
112194,7.57E+04
112195,3.40E+04
112196,9.61E+04
112197,2.73E+04
112198,8.47E+04
112199,2.23E+04
112200,6.88E+04
112201,3.10E+04
112202,9.28E+03
112203,6.80E+04
112204,1.26E+04
112205,7.56E+04
112206,1.29E+04
112207,1.03E+05
112208,1.04E+05
112209,6.63E+04
112210,5.59E+04
112211,6.76E+04
112212,1.01E+05
112213,8.22E+04
112214,5.66E+04
112215,8.19E+04
112216,1.51E+04
112217,3.77E+04
112218,2.85E+04
112219,5.67E+04
112220,1.22E+05
112221,8.02E+04
112222,2.54E+04
112223,5.25E+04
112224,6.76E+04
112225,8.20E+04
112226,3.00E+04
112227,2.24E+04
112228,4.12E+04
112229,1.01E+05
112230,3.37E+04
112231,6.04E+04
112232,3.10E+04
112233,2.87E+04
112234,1.09E+05
112235,4.25E+04
112236,3.79E+04
112237,4.94E+04
112238,4.42E+04
112239,4.48E+04
112240,2.08E+04
112241,7.19E+04
112242,4.86E+04
112243,1.30E+05
112244,6.42E+04
112245,2.66E+04
112246,5.44E+04
112247,1.41E+04
112248,4.54E+04
112249,1.09E+05
112250,4.67E+04
112251,1.01E+04
112252,2.91E+04
112253,1.36E+05
112254,5.76E+04
112255,4.26E+04
112256,2.17E+04
112257,1.11E+05
112258,3.98E+04
112259,6.55E+04
112260,3.81E+04
112261,5.24E+04
112262,2.00E+04
112263,2.38E+04
112264,3.65E+04
112265,3.89E+04
112266,5.15E+04
112267,2.16E+04
112268,3.38E+04
112269,8.63E+03
112270,6.10E+04
112271,5.82E+04
112272,4.67E+04
112273,2.21E+04
112274,3.38E+04
112275,5.62E+04
112276,7.97E+04
112277,6.55E+04
112278,1.19E+05
112279,1.84E+04
112280,1.44E+04
112281,1.02E+05
112282,3.09E+04
112283,5.86E+04
112284,1.67E+04
112285,2.42E+04
112286,5.69E+04
112287,1.02E+05
112288,8.68E+04
112289,6.03E+04
112290,9.29E+04
112291,4.59E+04
112292,1.40E+05
112293,6.07E+04
112294,6.83E+04
112295,4.81E+04
112296,3.80E+04
112297,4.96E+04
112298,5.99E+04
112299,1.45E+04
112300,1.11E+05
112301,8.09E+04
112302,7.03E+04
112303,5.54E+04
112304,3.51E+04
112305,4.37E+04
112306,9.53E+04
112307,2.62E+04
112308,7.84E+04
112309,4.87E+04
112310,7.09E+04
112311,1.01E+05
112312,3.08E+04
112313,7.01E+03
112314,8.77E+04
112315,4.67E+04
112316,8.67E+04
112317,6.40E+04
112318,8.67E+04
112319,1.52E+04
112320,3.39E+04
112321,2.22E+04
112322,9.71E+03
112323,4.33E+04
112324,4.73E+04
112325,9.80E+04
112326,6.36E+04
112327,4.29E+04
112328,2.99E+04
112329,6.56E+04
112330,7.84E+04
112331,2.44E+04
112332,8.13E+04
112333,3.89E+04
112334,-1.79E+04
112335,5.69E+04
112336,5.86E+04
112337,2.28E+04
112338,2.31E+04
112339,7.85E+04
112340,7.03E+04
112341,5.67E+04
112342,4.42E+04
112343,5.30E+04
112344,-2.21E+03
112345,4.83E+04
112346,8.26E+04
112347,5.79E+04
112348,6.54E+04
112349,8.80E+02
112350,6.59E+04
112351,5.43E+04
112352,6.34E+04
112353,8.89E+04
112354,5.30E+04
112355,5.01E+04
112356,1.05E+05
112357,5.42E+04
112358,9.91E+04
112359,9.80E+04
112360,6.94E+04
112361,1.02E+05
112362,9.02E+04
112363,3.88E+04
112364,5.13E+04
112365,2.70E+04
112366,2.66E+04
112367,4.19E+04
112368,2.61E+04
112369,9.19E+04
112370,1.02E+05
112371,3.96E+04
112372,7.06E+04
112373,2.99E+04
112374,7.21E+04
112375,8.79E+04
112376,6.39E+04
112377,7.92E+04
112378,4.12E+04
112379,6.31E+04
112380,7.72E+04
112381,6.80E+04
112382,3.49E+04
112383,6.58E+04
112384,1.06E+05
112385,4.32E+04
112386,8.10E+04
112387,9.67E+04
112388,5.57E+04
112389,4.92E+04
112390,7.63E+04
112391,2.52E+04
112392,1.12E+05
112393,9.82E+04
112394,1.57E+04
112395,7.74E+04
112396,3.09E+04
112397,3.29E+04
112398,8.96E+04
112399,1.24E+05
112400,1.04E+05
112401,3.65E+04
112402,3.54E+04
112403,7.79E+04
112404,7.77E+04
112405,8.23E+04
112406,3.10E+04
112407,8.94E+04
112408,8.29E+04
112409,6.74E+04
112410,7.83E+04
112411,2.91E+04
112412,4.23E+04
112413,9.28E+04
112414,9.17E+03
112415,8.91E+04
112416,5.17E+04
112417,2.04E+04
112418,9.76E+04
112419,3.85E+04
112420,9.74E+04
112421,1.21E+05
112422,1.04E+05
112423,6.32E+04
112424,4.27E+04
112425,2.60E+04
112426,8.08E+04
112427,8.47E+04
112428,3.07E+04
112429,1.21E+05
112430,5.40E+04
112431,6.96E+04
112432,5.76E+04
112433,7.56E+04
112434,4.74E+03
112435,2.37E+04
112436,3.05E+04
112437,7.25E+04
112438,4.42E+04
112439,7.44E+04
112440,3.64E+04
112441,6.61E+04
112442,6.44E+04
112443,6.17E+04
112444,1.18E+05
112445,8.00E+04
112446,8.09E+04
112447,2.77E+04
112448,-2.44E+04
112449,7.15E+04
112450,3.51E+04
112451,-4.32E+02
112452,6.20E+04
112453,4.56E+04
112454,3.75E+04
112455,7.63E+04
112456,3.91E+04
112457,4.37E+04
112458,5.77E+04
112459,3.52E+04
112460,3.92E+04
112461,4.03E+04
112462,1.28E+05
112463,6.77E+04
112464,4.72E+04
112465,2.82E+04
112466,5.96E+04
112467,7.53E+04
112468,8.94E+04
112469,5.15E+04
112470,2.29E+04
112471,3.96E+04
112472,7.35E+04
112473,6.99E+04
112474,9.79E+04
112475,4.79E+04
112476,1.10E+05
112477,1.17E+05
112478,2.19E+04
112479,7.46E+04
112480,-1.06E+04
112481,1.73E+04
112482,8.49E+04
112483,9.53E+04
112484,2.33E+04
112485,1.09E+05
112486,9.04E+04
112487,6.41E+04
112488,5.52E+04
112489,9.71E+04
112490,8.63E+04
112491,5.48E+04
112492,4.54E+04
112493,7.60E+04
112494,1.67E+04
112495,1.15E+05
112496,6.60E+04
112497,3.09E+04
112498,5.25E+04
112499,5.85E+04
112500,5.62E+04
112501,9.73E+04
112502,4.92E+04
112503,4.03E+04
112504,1.28E+05
112505,7.75E+04
112506,4.30E+04
112507,3.37E+04
112508,1.05E+05
112509,-2.12E+01
112510,4.97E+04
112511,4.43E+04
112512,1.93E+04
112513,2.69E+04
112514,1.14E+05
112515,1.78E+04
112516,4.50E+04
112517,1.02E+05
112518,4.57E+04
112519,8.63E+03
112520,9.50E+04
112521,8.67E+04
112522,3.69E+04
112523,5.93E+03
112524,3.42E+04
112525,6.76E+04
112526,7.01E+04
112527,1.03E+05
112528,2.93E+04
112529,2.28E+04
112530,1.06E+05
112531,1.12E+05
112532,3.93E+04
112533,7.83E+04
112534,1.12E+05
112535,3.78E+04
112536,5.04E+04
112537,7.94E+04
112538,8.35E+04
112539,6.33E+04
112540,7.96E+04
112541,8.04E+04
112542,3.49E+04
112543,2.37E+04
112544,1.06E+05
112545,4.54E+04
112546,-4.19E+03
112547,8.64E+04
112548,8.35E+04
112549,6.69E+04
112550,7.79E+04
112551,2.80E+04
112552,7.02E+04
112553,5.12E+04
112554,4.39E+04
112555,1.00E+05
112556,5.65E+04
112557,1.00E+05
112558,3.60E+04
112559,4.03E+04
112560,5.21E+04
112561,7.88E+03
112562,6.42E+04
112563,1.32E+04
112564,9.12E+04
112565,1.07E+05
112566,2.89E+04
112567,1.99E+04
112568,1.07E+05
112569,3.35E+04
112570,8.74E+04
112571,6.54E+04
112572,5.72E+04
112573,5.18E+04
112574,6.10E+04
112575,3.09E+04
112576,1.27E+05
112577,9.48E+04
112578,1.12E+05
112579,1.08E+05
112580,5.19E+03
112581,2.91E+04
112582,8.88E+04
112583,8.08E+04
112584,6.15E+04
112585,5.63E+04
112586,3.43E+04
112587,5.60E+04
112588,6.82E+04
112589,4.19E+04
112590,7.76E+04
112591,6.47E+04
112592,6.52E+04
112593,8.59E+04
112594,4.13E+04
112595,8.38E+04
112596,6.92E+04
112597,4.26E+04
112598,6.92E+04
112599,3.28E+04
112600,2.67E+04
112601,3.56E+04
112602,1.35E+05
112603,1.41E+04
112604,7.62E+04
112605,1.08E+05
112606,5.15E+04
112607,3.38E+04
112608,9.79E+04
112609,4.50E+04
112610,6.40E+04
112611,9.39E+04
112612,4.14E+04
112613,3.31E+04
112614,3.14E+04
112615,4.73E+04
112616,4.54E+04
112617,9.14E+04
112618,5.85E+04
112619,8.50E+04
112620,1.56E+04
112621,7.73E+04
112622,5.85E+04
112623,2.49E+04
112624,9.19E+04
112625,5.21E+04
112626,4.86E+04
112627,8.15E+04
112628,6.20E+04
112629,2.50E+04
112630,7.45E+04
112631,4.64E+04
112632,1.53E+04
112633,7.88E+04
112634,9.27E+04
112635,4.37E+04
112636,5.23E+04
112637,8.69E+04
112638,8.92E+04
112639,4.89E+04
112640,1.62E+04
112641,5.70E+04
112642,2.21E+04
112643,6.69E+04
112644,9.28E+04
112645,8.57E+04
112646,6.70E+04
112647,5.77E+03
112648,3.84E+04
112649,8.48E+04
112650,4.68E+04
112651,2.15E+04
112652,1.47E+05
112653,5.83E+04
112654,7.86E+04
112655,3.41E+04
112656,7.84E+04
112657,1.10E+05
112658,5.78E+04
112659,4.96E+04
112660,1.78E+04
112661,4.91E+04
112662,4.85E+04
112663,8.93E+04
112664,8.84E+04
112665,4.26E+04
112666,5.91E+04
112667,5.21E+04
112668,2.11E+04
112669,1.55E+04
112670,5.12E+04
112671,3.71E+04
112672,5.64E+04
112673,6.32E+04
112674,2.86E+04
112675,1.02E+05
112676,8.22E+04
112677,5.41E+04
112678,6.61E+03
112679,3.73E+04
112680,6.65E+03
112681,6.10E+04
112682,7.93E+04
112683,7.41E+04
112684,7.59E+04
112685,3.03E+04
112686,1.04E+05
112687,1.04E+05
112688,6.17E+04
112689,8.79E+04
112690,1.02E+05
112691,1.08E+04
112692,6.20E+04
112693,3.36E+04
112694,9.80E+04
112695,1.14E+05
112696,2.20E+04
112697,1.62E+04
112698,4.52E+04
112699,1.81E+04
112700,1.07E+04
112701,3.29E+04
112702,9.69E+04
112703,6.25E+04
112704,6.29E+04
112705,1.06E+05
112706,5.56E+04
112707,4.42E+04
112708,8.83E+04
112709,1.11E+05
112710,2.90E+04
112711,9.01E+04
112712,5.13E+04
112713,4.34E+04
112714,8.24E+04
112715,1.12E+05
112716,4.52E+04
112717,7.43E+04
112718,9.40E+04
112719,8.52E+04
112720,4.81E+04
112721,6.15E+04
112722,3.30E+04
112723,4.23E+04
112724,2.06E+04
112725,5.42E+03
112726,6.62E+04
112727,1.13E+05
112728,3.37E+04
112729,2.84E+04
112730,3.28E+04
112731,6.93E+04
112732,8.04E+04
112733,5.26E+04
112734,3.82E+04
112735,6.02E+04
112736,7.94E+04
112737,3.15E+04
112738,2.12E+04
112739,3.80E+04
112740,4.86E+04
112741,1.23E+04
112742,9.75E+04
112743,7.64E+04
112744,8.49E+04
112745,2.20E+04
112746,4.46E+04
112747,1.03E+05
112748,3.11E+04
112749,1.35E+05
112750,8.93E+04
112751,4.29E+04
112752,3.97E+04
112753,5.06E+04
112754,4.23E+04
112755,8.47E+04
112756,5.66E+04
112757,8.16E+04
112758,9.32E+04
112759,3.73E+04
112760,3.58E+04
112761,4.98E+04
112762,7.61E+04
112763,2.95E+04
112764,9.53E+04
112765,1.17E+04
112766,4.15E+04
112767,1.28E+04
112768,4.02E+04
112769,8.80E+03
112770,5.15E+04
112771,7.98E+04
112772,3.32E+04
112773,8.85E+04
112774,4.19E+04
112775,9.15E+04
112776,4.70E+04
112777,2.62E+04
112778,1.69E+04
112779,4.51E+04
112780,7.29E+04
112781,6.58E+04
112782,1.00E+05
112783,5.73E+04
112784,7.83E+04
112785,8.66E+04
112786,4.21E+04
112787,2.06E+04
112788,4.82E+04
112789,2.92E+04
112790,1.45E+05
112791,8.88E+04
112792,4.86E+04
112793,3.50E+04
112794,1.06E+04
112795,3.94E+04
112796,4.54E+04
112797,2.99E+04
112798,7.41E+04
112799,3.25E+04
112800,7.10E+04
112801,-2.02E+04
112802,1.06E+05
112803,1.21E+05
112804,9.28E+04
112805,3.24E+04
112806,9.47E+04
112807,8.38E+04
112808,4.35E+04
112809,5.86E+04
112810,7.58E+04
112811,1.11E+05
112812,1.07E+05
112813,1.03E+05
112814,2.19E+04
112815,8.37E+04
112816,3.49E+04
112817,1.74E+04
112818,6.67E+04
112819,3.53E+04
112820,8.24E+04
112821,6.03E+04
112822,2.48E+04
112823,6.73E+04
112824,1.69E+04
112825,2.35E+04
112826,7.82E+04
112827,2.97E+02
112828,1.07E+05
112829,9.62E+04
112830,4.53E+04
112831,3.16E+04
112832,1.75E+04
112833,1.64E+04
112834,8.84E+04
112835,1.57E+04
112836,4.32E+04
112837,1.56E+04
112838,1.08E+05
112839,4.18E+04
112840,3.93E+04
112841,2.29E+04
112842,6.18E+04
112843,5.84E+04
112844,5.74E+04
112845,8.96E+04
112846,9.03E+04
112847,1.85E+04
112848,8.10E+04
112849,3.33E+04
112850,6.74E+04
112851,5.25E+04
112852,1.62E+04
112853,4.22E+04
112854,6.13E+04
112855,6.57E+04
112856,7.04E+04
112857,2.43E+04
112858,3.73E+04
112859,5.61E+04
112860,4.52E+04
112861,2.78E+04
112862,5.06E+04
112863,2.02E+04
112864,1.09E+05
112865,4.77E+04
112866,3.87E+04
112867,7.27E+04
112868,3.43E+04
112869,3.09E+04
112870,1.01E+05
112871,5.86E+04
112872,6.48E+04
112873,6.93E+04
112874,2.83E+04
112875,2.52E+04
112876,3.79E+04
112877,9.56E+04
112878,5.35E+04
112879,9.39E+04
112880,6.37E+04
112881,2.30E+04
112882,9.87E+03
112883,8.15E+04
112884,4.73E+04
112885,3.64E+04
112886,4.03E+04
112887,6.89E+04
112888,7.49E+04
112889,2.62E+04
112890,1.04E+05
112891,4.89E+04
112892,8.99E+04
112893,4.97E+03
112894,6.01E+04
112895,7.79E+03
112896,5.36E+04
112897,9.26E+04
112898,7.87E+04
112899,6.82E+04
112900,7.11E+04
112901,5.81E+04
112902,2.41E+04
112903,8.27E+04
112904,4.15E+04
112905,1.76E+04
112906,4.46E+04
112907,7.50E+04
112908,1.22E+04
112909,7.67E+04
112910,1.04E+05
112911,6.50E+04
112912,5.14E+04
112913,6.33E+04
112914,1.06E+05
112915,4.34E+03
112916,5.32E+04
112917,7.70E+04
112918,4.55E+04
112919,9.53E+04
112920,9.03E+04
112921,4.23E+04
112922,8.05E+04
112923,4.68E+04
112924,4.52E+04
112925,1.05E+04
112926,2.07E+04
112927,7.64E+04
112928,9.84E+04
112929,7.55E+04
112930,7.34E+03
112931,2.99E+04
112932,5.70E+04
112933,2.78E+04
112934,2.64E+04
112935,6.24E+04
112936,3.28E+04
112937,5.84E+04
112938,7.22E+04
112939,3.89E+04
112940,9.10E+04
112941,1.05E+05
112942,8.43E+04
112943,5.41E+04
112944,4.78E+04
112945,3.19E+04
112946,5.62E+04
112947,8.07E+04
112948,4.12E+04
112949,9.61E+04
112950,5.72E+04
112951,6.33E+04
112952,1.16E+05
112953,3.97E+04
112954,7.54E+04
112955,4.03E+04
112956,3.02E+04
112957,8.40E+04
112958,7.64E+04
112959,6.68E+04
112960,1.84E+04
112961,2.63E+04
112962,6.68E+04
112963,9.49E+04
112964,3.25E+04
112965,5.65E+04
112966,9.62E+04
112967,1.09E+04
112968,7.33E+04
112969,4.28E+04
112970,1.21E+05
112971,1.20E+05
112972,4.42E+04
112973,8.67E+04
112974,1.30E+05
112975,2.98E+04
112976,3.47E+04
112977,3.16E+03
112978,9.65E+04
112979,4.65E+04
112980,1.74E+04
112981,6.18E+04
112982,1.89E+04
112983,6.38E+04
112984,3.98E+04
112985,8.54E+04
112986,1.20E+04
112987,9.50E+04
112988,6.77E+04
112989,1.56E+04
112990,7.75E+04
112991,5.23E+04
112992,2.24E+04
112993,2.46E+04
112994,3.31E+04
112995,7.87E+04
112996,6.41E+02
112997,5.30E+04
112998,4.51E+04
112999,6.09E+04
113000,7.01E+04
113001,9.60E+04
113002,1.48E+04
113003,6.73E+04
113004,2.37E+04
113005,6.86E+04
113006,1.14E+05
113007,8.67E+04
113008,2.47E+04
113009,8.41E+04
113010,7.47E+04
113011,4.36E+04
113012,1.01E+05
113013,8.19E+04
113014,9.28E+04
113015,2.98E+04
113016,2.90E+04
113017,4.48E+04
113018,6.40E+04
113019,6.55E+04
113020,9.08E+03
113021,8.16E+04
113022,4.22E+04
113023,3.73E+04
113024,2.94E+04
113025,8.35E+04
113026,6.39E+04
113027,6.24E+04
113028,1.37E+04
113029,2.59E+04
113030,9.78E+04
113031,4.32E+04
113032,7.70E+04
113033,3.36E+04
113034,3.93E+04
113035,6.11E+04
113036,3.06E+04
113037,3.09E+04
113038,1.71E+04
113039,6.61E+04
113040,4.94E+04
113041,7.58E+04
113042,3.05E+04
113043,6.41E+04
113044,4.19E+04
113045,2.13E+04
113046,7.06E+04
113047,3.64E+03
113048,-3.18E+03
113049,7.35E+04
113050,7.00E+04
113051,5.59E+04
113052,4.50E+04
113053,4.39E+04
113054,3.79E+04
113055,1.02E+05
113056,4.08E+04
113057,6.94E+04
113058,2.12E+04
113059,2.49E+04
113060,6.83E+04
113061,9.85E+04
113062,4.56E+04
113063,1.13E+05
113064,3.93E+04
113065,8.95E+04
113066,4.37E+04
113067,5.26E+04
113068,8.90E+04
113069,7.70E+04
113070,2.89E+04
113071,5.89E+04
113072,6.38E+04
113073,9.02E+04
113074,8.14E+04
113075,1.27E+05
113076,3.40E+04
113077,3.18E+04
113078,7.93E+04
113079,8.57E+04
113080,9.28E+04
113081,6.40E+04
113082,5.82E+04
113083,5.82E+04
113084,5.94E+04
113085,7.12E+04
113086,3.92E+04
113087,3.17E+04
113088,6.10E+04
113089,7.70E+04
113090,2.30E+04
113091,7.54E+04
113092,7.71E+04
113093,7.27E+04
113094,5.11E+04
113095,3.97E+04
113096,6.16E+04
113097,7.33E+04
113098,3.10E+04
113099,6.14E+04
113100,1.13E+05
113101,8.98E+04
113102,1.05E+05
113103,4.77E+04
113104,4.29E+04
113105,7.21E+04
113106,4.08E+04
113107,1.79E+04
113108,3.74E+04
113109,5.31E+04
113110,8.21E+04
113111,4.99E+04
113112,8.59E+04
113113,1.14E+05
113114,2.22E+04
113115,1.28E+05
113116,8.11E+04
113117,3.26E+04
113118,6.05E+04
113119,5.43E+04
113120,3.87E+04
113121,1.99E+04
113122,4.74E+04
113123,5.57E+03
113124,4.06E+04
113125,3.45E+04
113126,3.95E+04
113127,2.57E+04
113128,1.98E+04
113129,7.91E+04
113130,5.12E+04
113131,2.00E+04
113132,4.47E+04
113133,1.02E+05
113134,4.64E+04
113135,2.68E+04
113136,9.45E+04
113137,1.82E+04
113138,2.91E+04
113139,2.71E+04
113140,1.01E+04
113141,3.46E+04
113142,1.06E+05
113143,3.29E+04
113144,6.20E+04
113145,1.08E+05
113146,7.15E+04
113147,9.19E+04
113148,8.07E+04
113149,7.90E+04
113150,1.14E+05
113151,4.91E+04
113152,8.06E+04
113153,4.94E+04
113154,6.63E+04
113155,5.34E+04
113156,2.20E+04
113157,2.48E+04
113158,5.73E+04
113159,6.46E+04
113160,7.68E+03
113161,7.52E+04
113162,4.88E+04
113163,1.00E+05
113164,6.68E+04
113165,5.54E+04
113166,6.45E+04
113167,4.64E+04
113168,9.88E+04
113169,5.19E+04
113170,1.23E+05
113171,1.06E+05
113172,1.09E+05
113173,2.88E+04
113174,8.52E+04
113175,6.00E+04
113176,7.17E+04
113177,3.08E+04
113178,7.44E+04
113179,4.36E+04
113180,3.45E+04
113181,6.92E+04
113182,5.39E+04
113183,2.00E+04
113184,5.19E+04
113185,7.12E+04
113186,4.60E+04
113187,7.90E+04
113188,5.63E+04
113189,9.18E+04
113190,1.01E+05
113191,4.11E+04
113192,2.13E+04
113193,2.32E+04
113194,8.98E+04
113195,1.22E+05
113196,2.73E+04
113197,3.27E+04
113198,3.40E+04
113199,2.04E+04
113200,4.09E+04
113201,1.14E+05
113202,3.09E+04
113203,7.62E+04
113204,3.85E+04
113205,1.74E+04
113206,1.96E+04
113207,9.06E+04
113208,5.05E+04
113209,4.08E+04
113210,8.48E+04
113211,2.44E+04
113212,3.62E+04
113213,4.91E+04
113214,4.60E+04
113215,2.49E+04
113216,7.89E+04
113217,6.03E+04
113218,1.04E+05
113219,9.50E+04
113220,8.23E+04
113221,3.95E+04
113222,8.67E+04
113223,5.24E+04
113224,7.11E+04
113225,3.21E+04
113226,2.59E+04
113227,6.91E+04
113228,1.16E+04
113229,6.57E+04
113230,5.92E+04
113231,6.17E+04
113232,9.68E+04
113233,2.49E+04
113234,4.07E+04
113235,4.95E+04
113236,5.93E+04
113237,3.39E+04
113238,4.64E+04
113239,8.71E+04
113240,1.07E+05
113241,3.66E+04
113242,8.84E+04
113243,2.37E+04
113244,4.30E+04
113245,6.92E+04
113246,8.38E+04
113247,5.38E+04
113248,7.18E+04
113249,8.97E+04
113250,9.77E+04
113251,5.03E+04
113252,6.65E+04
113253,6.00E+04
113254,2.35E+04
113255,5.85E+04
113256,4.50E+04
113257,4.10E+04
113258,1.25E+04
113259,7.76E+04
113260,7.78E+04
113261,6.05E+04
113262,8.75E+04
113263,7.05E+04
113264,4.17E+04
113265,9.19E+04
113266,8.50E+04
113267,8.33E+04
113268,3.45E+04
113269,7.71E+04
113270,1.08E+05
113271,2.26E+04
113272,8.55E+04
113273,3.36E+04
113274,7.78E+04
113275,5.04E+04
113276,4.38E+04
113277,3.40E+04
113278,2.94E+04
113279,8.75E+04
113280,3.12E+04
113281,8.17E+04
113282,7.79E+04
113283,6.96E+04
113284,3.11E+04
113285,9.25E+04
113286,6.67E+04
113287,1.01E+05
113288,2.50E+04
113289,5.89E+04
113290,2.05E+04
113291,3.65E+04
113292,9.42E+04
113293,3.31E+04
113294,2.98E+04
113295,2.52E+04
113296,4.50E+04
113297,7.52E+04
113298,3.06E+04
113299,1.06E+05
113300,8.69E+04
113301,1.58E+04
113302,4.67E+04
113303,3.53E+04
113304,9.66E+04
113305,7.13E+04
113306,5.73E+04
113307,5.05E+04
113308,1.06E+05
113309,9.56E+04
113310,5.51E+04
113311,8.63E+04
113312,8.53E+04
113313,5.57E+04
113314,9.59E+04
113315,9.03E+04
113316,1.24E+05
113317,4.06E+04
113318,9.71E+03
113319,3.45E+04
113320,5.39E+04
113321,1.17E+05
113322,3.12E+04
113323,1.03E+05
113324,9.65E+04
113325,5.21E+04
113326,9.40E+04
113327,9.29E+04
113328,8.50E+04
113329,1.04E+05
113330,4.63E+04
113331,7.85E+04
113332,1.11E+05
113333,3.88E+04
113334,5.65E+04
113335,7.29E+04
113336,9.11E+04
113337,6.56E+04
113338,6.47E+04
113339,6.81E+04
113340,3.00E+04
113341,1.03E+05
113342,8.24E+04
113343,1.02E+05
113344,3.02E+04
113345,5.97E+04
113346,3.97E+04
113347,8.18E+04
113348,4.65E+04
113349,8.57E+04
113350,1.91E+04
113351,1.00E+05
113352,6.84E+04
113353,3.43E+04
113354,1.03E+05
113355,6.49E+04
113356,4.62E+04
113357,9.61E+04
113358,3.89E+04
113359,9.00E+03
113360,4.28E+04
113361,2.73E+04
113362,-3.16E+03
113363,1.03E+05
113364,3.44E+03
113365,1.22E+04
113366,5.40E+04
113367,5.65E+04
113368,6.01E+04
113369,9.31E+04
113370,5.07E+04
113371,1.26E+05
113372,1.25E+04
113373,6.97E+04
113374,5.04E+04
113375,7.40E+04
113376,1.01E+05
113377,5.43E+04
113378,6.71E+04
113379,9.13E+04
113380,3.73E+04
113381,3.20E+04
113382,9.63E+04
113383,4.62E+04
113384,3.19E+04
113385,3.87E+04
113386,1.83E+04
113387,3.73E+04
113388,8.96E+04
113389,4.30E+04
113390,2.36E+04
